ID,clean_tweet,true_label,predicted_label,probability_of_hateful
5119,come man   oreo needs chill know good nah  tcomw9qxg3vfw,0,1,0.7173890064777568
3575,think fuckin wit wrong niggah,1,1,0.8739197179548313
246,gorilla simulator need adapt environment need tear city materia,0,0,0.22109131688004302
3259,im going miss bitches  tcolupoqat2r9 far right resting ol girl booty yall funny shit,1,1,0.9303211668968072
5805,  udonis talking big trash lance lebron holds,0,0,0.4294138890208694
4820,cool beaners got home ready couch floating away lol,0,1,0.715126056305429
6297,  craving oreo mcflurry b,0,1,0.5001807402876967
2945,want vote,1,1,0.670064554192411
2706,heres combat violent extremism 2017 white nationalist came dinner,1,1,0.9900348923159968
1730,libtard cant believe hate muslims suppo trump black woman im damn slave,1,1,0.8370633168466755
102,thankful sense taste,0,1,0.5001807402876967
3096,elizabeth astupid hoe,1,1,0.6769678012666285
3359,pussy  tcottzsxbts74,1,1,0.7599667489498402
1513,surprised news outlets opposition racemix ad hate racism embrac,1,1,0.9921021890301358
2127,kind enable emb,1,1,0.5001807402876967
5180,facebook birdsim,0,1,0.5001807402876967
1484,libtard,1,1,0.5001807402876967
4087,bahaha karma bitch,1,1,0.7077130342708366
3455,bad bitch line tryna brains,1,1,0.9354637799873919
2178,bout spend new years eve playing game lol,1,1,0.9954482862600217
6761,twitters little blue birds larry celtics isu larry bird stick ticker twtr,0,1,0.7793769843876553
6508,  yankee doodle farm cotton farm,0,1,0.5001807402876967
1075,grow old best robe browning,0,1,0.7004383424975464
6925,wanna ghetto club tonight,0,1,0.7286788212261406
2265,lecture,1,1,0.5001807402876967
3434,deses bitches know youre nigga,1,1,0.847581421383821
234,looking cool river island outfit,0,1,0.5832967235424517
4983,blaxican,0,1,0.5001807402876967
6732,music trash,0,0,0.00019350447756542308
3979,hoes need rounds   play stupid hoe song,1,1,0.7215157484794196
6804,monkey  tcoh76rptl8wq,0,1,0.518897770696544
6442,  hey jig democrats dems raci,0,1,0.5465977033363244
1804,truly stand equality acceptable,1,1,0.7982196098473373
5012,gold white yellow,0,1,0.782327013421914
1056,science stupid nat geo,0,1,0.7563098379330709
240,thankful imagination,0,1,0.5001807402876967
133,oh thursdays noodle day menu,0,1,0.5038499410962889
5630,plan dying soon im totally going write kenobi sole heir hes thing locally 94 trust,0,0,0.44490481802071863
4442,pop wop,0,1,0.5001807402876967
2032,think names true,1,1,0.6110986881569545
1193,leaving morning,0,1,0.5001807402876967
5203,foto imapython bieg albino sea tu le think u mean soul ocean  tcovymitsncen,0,1,0.930577557358348
3510,gang gang bitch,1,1,0.551100867263668
4499,rocked white sole feel ya bro favorite foam time  tcoltssn34ifj,0,1,0.8829640450195815
6022,  twitters home button birdhouse join youre egg logo bird people dont realize,0,1,0.6730652467574024
6242,  ya gives 43 lead 10th solo home run,0,0,0.007332117722096607
5971,  buy tickets transformers 3d lock aluminum trash toss overpass rus,0,0,0.4463393444397846
3594,lickin toes basic bitch cant fuck basic bitch,1,1,0.6913577952201749
430,sad shouldnt happen stay strong team,0,0,0.37843705059306076
643,saturday truths,0,1,0.5001807402876967
3818,  bitches b tweeting b relavent sad,1,1,0.6349349876150026
1421,gonna watch conjuring 2 today wbarkada,0,0,0.4625846836296212
4769,cookies sound wonderful,0,1,0.5001807402876967
5961,  babes buy brazilian peruvian bengali,0,1,0.5001807402876967
2967,white trash,1,1,0.6618863851328565
4383,5am whizzing crackers cats got   playing hockey lol  tcoa5zbvdxapx,0,1,0.7208166365652132
2589,libtard,1,1,0.5001807402876967
6193,  great regular season ball birds,0,1,0.5302066391743633
1039,hahaha heroes fake,0,1,0.6294547895460418
4741,little girl tom sawyer gets trapped cave injun joe die injun joe dies find treasure,0,1,0.6476842656249654
5047,bank robber wore zebraprint dress arrested police  tcouuq0bw6vju,0,1,0.8977146427301196
38,thing feel like know,0,0,0.10616399214665281
2772,ignored,1,1,0.5001807402876967
2570,ignorance egregious dont dare speak 4 rest,1,1,0.5888310358652715
4728,yu forgot beat yall thats like garbage man calling janitor trash,0,1,0.9042950448116782
1967,ignored,1,1,0.5001807402876967
5991,  jamal fool called leprechaun said hea  cant blue purple gotta yellow,0,1,0.8932344517445102
866,astonished hasnt received accolades deserves win today especially,0,1,0.8553238202514166
1380,bihday present 31st,0,1,0.5001807402876967
2113,youre racist,1,1,0.7076182604209194
5446,ive pretty eaten entire box nephews cheese nips feel bad little,0,1,0.7415589659220431
4990,yankee win makes day better,0,1,0.9490338646316268
3036,whats youtube channel faggot,1,1,0.6891658382500223
626,best essential oils,0,1,0.5001807402876967
3834,  like lunch little boynah bitch look im eating cause  tco7cva8grvds,1,1,0.8980165044683537
4490,prime leija trash 140 dudes today,0,0,0.39613563995778284
4910,dont think celestial dragon killed,0,1,0.7227433336959891
5219,guys walked office secretary bird looks like find  tcot9u4vgwjwv,0,1,0.7090611510761159
4640,yeah definitely wasnt guy fought lara cuts ring huge boon canelo,0,0,0.0436457505340135
2893,age gender race define capabilities 2016,1,1,0.9047533286865466
3459,bad bitches thing like,1,0,0.14938905832735397
2847,destroyed minute,1,1,0.5001807402876967
264,love u u time ur,0,0,0.4669904299019428
2095,new way disgraced,1,1,0.5617148519335874
4393,wonder charlie brown days,0,1,0.5001807402876967
2663,cult,1,1,0.5001807402876967
2749,nigger white kid growing 60s,1,1,0.825773463408161
4153,smuggler explains helped fighters jihadi highway  tcoux4anxeawd,0,1,0.5001807402876967
5392,think ill eat brownie pass,0,1,0.5338787045253389
5782,  homeowner shoots armed suspect attacked pistol whipped  tcovluewugclg,0,1,0.5001807402876967
51,anna open challenge try find 2 kilometer road potholes breakers hyderabad u work fundu ideas,0,0,0.24284247547147156
5442,im biggest redskins dam right stop,0,1,0.6620257537105716
4568,box yellow crayons,0,1,0.6031553479136076
3902,  free squaddd bitch solid block freee,1,1,0.5749381794743765
2319,dont forget research shows sexist men psychological problems,1,1,0.5880164732952354
1935,donkey proud murdering real palestinian semitic children thats,1,1,0.5046794088648849
5488,jamaica populated island hillbillies linguistics kind sub accent olde english derivatives,0,1,0.5001807402876967
5236,golden oreos best,0,1,0.5001807402876967
2408,times grave dangerwith dissent recast treason unchained intolerance march it,1,1,0.937427591928988
5225,mt offers fun break slopes sweet  tcootj5uxqbna,0,1,0.5001807402876967
6605,oval pink blue yellow,0,1,0.5509699489547922
3241,  hoe dmd sayin dreamsfuckin fo une cookie ass hoe fuck dms,1,1,0.8048951151419407
2604,green book sundown towns guide reminder faced travellers,1,1,0.5001807402876967
1600,prostitutes brief history behaving badly,1,1,0.5001807402876967
5980,  jihadiinchief hussein urges restraint fighting islamic butchers nice isiswe hu ,0,1,0.5001807402876967
6868,know ghetto streets named ma in luther king jr   littlejohn,0,1,0.6964430853916932
2681,stop trying find isnt happening,1,1,0.8197674036831388
966,trump calling obama resign orlando shootings boy point 8 years talk change,0,1,0.9655189713784651
438,n fathers taking care kid n forget,0,1,0.8265513358201965
4980,didnt open das asked cus thought yu ate wat pork chops yellow rice n beans,0,1,0.5874468729566389
4997,yellow jacket landed mouth stung cutting grasssafe  tcocayucs8o01,0,1,0.5654611725058549
1375,dana middle silvergate elementary ceremony old glory san diego military town today,0,1,0.6457002499044923
4376,2 games im good,0,1,0.7226178777965859
3796,  lmaoo bitch  tco2dhlgxcvg2,1,1,0.7077130342708366
5562,man shiner charas spo ing yowza,0,1,0.5403429916066246
2577,extending hand   uniting merica unprecedented,1,1,0.5001807402876967
4275,lakers trash,0,0,0.415776703177558
2317,hopefully stop funding illegal state pay 38billion,1,1,0.5487399369531181
2806,krakow beautiful   stay   let build   uk east european,1,0,0.09513557986858609
6857,yasss brownies   ice cream  tco8qla3jsglg,0,1,0.6283022027840305
812,thankful,0,1,0.5001807402876967
1145,wohooo pachhyyy congratulations,0,1,0.5001807402876967
1868,aint da blm,1,1,0.7637443378096653
2125,disgusting racist thugs look forward going jail,1,1,0.7085829372403402
1176,needed sho escape thank youuu safety nets conipra91,0,1,0.9897089881776548
1322,open public hours,0,1,0.7902506596423295
3665,pull ex bitch mad,1,1,0.9985682951707975
2349,thought factory leftright polarisation 12,1,1,0.5001807402876967
6839,monkey gorilla theyre hairy choose monkey  tcoh2rqf5oqwb,0,1,0.5126927482497683
2707,deaths caused islamic extremism occur civil wars terror attacks,1,1,0.5001807402876967
997,gets,0,1,0.5319053127150359
3183,seattle mayoral election year choice bunch women nonwhites faggotsfag lovers tcorwhgmrlazx,1,1,0.6997960820322735
3389,pussy pussy pussy,1,1,0.7599667489498402
3505,fuck bitch,1,1,0.7595068566297445
2894,denial,1,1,0.5001807402876967
1616,police appeal following 2 alleged assaults,1,1,0.7741746100016027
5287,homework boonies date caitlin tonightgtgt,0,1,0.8451696127968126
6209,  comstock lode boon 4 grew 2 20000 ppl   1 largest   wealthiest,0,1,0.9929864224299726
2035,hitler called,1,1,0.9222428816403979
178,dont know dont misinform belmont park bigger flemington tight theredid watch,0,1,0.7036774156698383
4373,10   15   average 2 8 need scale 110 ghetto u,0,1,0.5474280456617836
3514,girl like 19 pics instagram morning working saw thought bitch need life,1,0,0.3164836677202192
6996,versace bird feeder,0,1,0.5001807402876967
6001,  paper ball trash  tcom90w9n1zbt,0,0,0.415776703177558
1010,finally got fish tank,0,1,0.5681714593220384
2674,ally carl slammed wish list nbc news,1,1,0.977583115429025
536,singing makes,0,1,0.983404758268062
3617,let hoes great  yall bitches reaching sidetitty look,1,1,0.8405639832621974
80,safe ways heal,0,1,0.5001807402876967
1372,cont fathers day disaster hermes useless courier pa 2,0,1,0.5029553625980733
5745,  halloween candy corn bird  tcoktnbyutykw,0,1,0.5001807402876967
3412,oh bitch ass wants reply 3 days bitch bye,1,1,0.6655383122136047
5073,cheese crackers,0,1,0.662447137092126
6512,  fairy tale deny existence sorrow failure,0,1,0.5001807402876967
231,lovely day sitting outside college enjoying sun im,0,1,0.6422225394192004
4819,cool beaners,0,1,0.6413179242357311
753,missing favorite electricity,0,1,0.8879859046371232
1278,place sos afternoon im totally blessed company gorgeous,0,1,0.701451768360604
1903,libtard,1,1,0.5001807402876967
5725,  grateful profound hospitality volunteers open homes patients traveling long distances abo,0,1,0.6124677178159174
3530,hello bitches want lies self,1,1,0.7354865197482843
3753,  5 years hoes aint gone shit dick head,1,1,0.9965581321611433
6252,    looking forward sitting president obama 60th anniversary broadcast sunday ho,0,1,0.7566285697942644
6093,  condom invent sole purpose,0,1,0.5001807402876967
6793,weed brownies gtgtgtgt,0,1,0.5001807402876967
1262,appletstag,0,1,0.5001807402876967
6800,trash franchise   fergie sing national anthem clippers season opener tomorrow,0,1,0.6196266059739549
3843,  bitch think im worried bitch ove hinking,1,1,0.7250700635423932
5353,learnt birds child best time learn,0,1,0.5974010866138026
2070,ask want follow im,1,1,0.7744786526754155
5360,love butter atcq id love qtips hook looped half minutes instead phifes trash verses,0,0,0.40305795589734067
2261,run risk looking unintentionally moredun edinburgh,1,0,0.0004086063293066265
6220,  fear mongering left dying wake going 2 believe charlie rangel hussein mia love c,0,1,0.540531091714752
382,wonderful dads especially happy fathers day,0,1,0.864157103465719
4412,got pompom pete,0,1,0.6651360203683614
5976,  nov 222012 thanksgiving dinner 200pm proof main day preoccupied giant bird  ,0,1,0.7034107371614624
2647,looks like damned fool 50 years usa openly opposed settlement buliding,1,1,0.9588510115312712
2579,comments reflections ignorance,1,1,0.6432936994202145
2856,trump c aign official wants michelle obama let loose live african apes,1,1,0.7691626945654753
1759,  feel like stomping listen,1,1,0.5510311845135577
5783,  free bird,0,1,0.5001807402876967
2943,libtard,1,1,0.5001807402876967
497,course hows trip hear close brno,0,1,0.6928379169929338
218,happy weekend people mc justorichrapkiddo cares,0,1,0.6178315935603649
1790,nick cannon speaks systemic,1,1,0.5001807402876967
1058,interests person pleased katharine hepburn,0,1,0.5739143187890529
5325,got eyes red bone,0,1,0.5626458793259574
2830,calls means jealous wh,1,1,0.6744113650694178
5021,think unsold items thrift stores garbage think great games trash dumps speak,0,0,0.468335815999696
6077,  charlie crist wins democratic primary  tcofunqxo8o4o,0,1,0.5001807402876967
938,big day tomorrow,0,1,0.5030777769439072
1761,liberal institutionalized white supremacy,1,1,0.694219008614185
4424,chicken fried steak boys mash potatoes gravy green beans corn ice cream brownies,0,1,0.8632612012235169
3936,  think mans cheating bitches house wifi connects,1,1,0.903084583492223
474,looking forward seeing tonight,0,1,0.5001807402876967
3132,americans hire white trash ties international terrorism police officers,1,1,0.6920738928522762
764,punished anger punished anger,0,1,0.5001807402876967
6322,  tommy voeckler keeps yellow andy schleck break tour contador broken incredible day,0,1,0.5409770816756245
6606,black people live entirely different world peaches cream apparently rose colored glasses,0,0,0.2963747162472766
2023,boys use drill,1,1,0.9619031201906794
1426,thankful palm trees,0,1,0.5001807402876967
2935,cop,1,1,0.5001807402876967
6207,  need moment appreciate noble guinea pig ste unk dragon wings  tcoseryx9v,0,1,0.6164704207916597
2466,latest knitting clio daily thanks,1,1,0.5001807402876967
2760,despite demoralizing 2016 ur free positive,1,1,0.6969316857757675
1371,damn years later weve literally country stop shootings happening,0,1,0.6522316694415724
4547,like doubt plays got lot big man rotation committed bosh bird mcbob   shawne,0,1,0.5995456623782166
5075,revisit idea teams playing like game  ,0,1,0.5587502780458459
2860,denied civil rights religion,1,1,0.635408382469992
4221,let play entire inning thats fitting,0,1,0.6145557874989874
6273,  release day gift yes adorable bumblebee bear  tcosc3ajxcirb,0,1,0.5133775773519997
4353,forget salute trash guy bad war cairo ii sympathize w pockistan gays hu ing morale thanks king,0,1,0.6523926214546956
6076,  thought raining sound roof birds exploding heat,0,1,0.5343681025966869
4946,fingers crossed chug chug chug lol,0,1,0.510228028385902
2620,defeat ugly prejudice,1,1,0.5001807402876967
6834,wont catch sneak dissing thats fo birds,0,1,0.7828697750656385
3797,  sta ed fuckin bitches believe horoscope saythey believe dumbass horoscopes gunna bel,1,1,0.7982228639302584
4693,liked day bird got classroom,0,1,0.5955025391224967
1587,id posted flag logo 2008 id called forced bake cake dancers elitist asses,1,1,0.9308409129168372
3928,  shoot em shit cool gimme shit play bitches niggagimme jiggy shit,1,1,0.9932650627359016
4166,fit lads nice gear  tcothnxx1lc1m scally lads n trainers,0,1,0.5001807402876967
6172,  deep fried oreos  tcoqudw3wqd7r,0,1,0.6693948178045931
3687,  ima beat yo lil young ass quick plyin hoe,1,1,0.7746968692735969
504,3 days,0,1,0.5001807402876967
1719,leads violence,1,1,0.5001807402876967
2229,jews gt,1,1,0.7187837123411617
3536,aint mad bitches thats hoes,1,1,0.8947870361843807
4948,dont hunt birds count shooting dove season power line bb gun,0,1,0.9518068786153026
3833,  bitch  tcofcqfdki4zn,1,1,0.7077130342708366
186,house price index rose previous 62to 69,0,1,0.549530477094219
4163,swears im man easily easily austin nip,0,1,0.590255423147439
535,enroute marinabaysands dinner,0,1,0.5001807402876967
2115,hope,1,1,0.5001807402876967
5614,seen tinted yellow tongue ate lemon jolly rancher,0,1,0.6375414497857803
4358,searches yellow pages app nearest jack box,0,1,0.5614862171797229
5142,nickname tator tator tot tightey whitey whitey jr taylor whitey pants agent ti  tcoxlbhdjfbf4,0,1,0.5001807402876967
6418,  ive talked trash ou lose today,0,0,0.4254320203486711
5573,gusta pollo espa lol,0,1,0.5450132887613413
737,pay relationship fully innocent remember words create feelings,0,1,0.8859110272309965
3533,come wont pray find time bitch,1,1,0.8440076484815148
1941,today 1000,1,0,0.459640659404135
2796,nope struggling observation,1,1,0.5001807402876967
6106,  dont care pretty personality trash men going treat accordingly thats tru,0,1,0.7777440825059896
933,34th xabi,0,1,0.5001807402876967
3752,  fw grown hoes,1,1,0.6448924038695767
2958,youre fucking gay blacklisted hoe holding  tcoxuccwoetmn,1,1,0.8397462768864048
2463,names women best nude blonde teenagers,1,1,0.54790241927294
1658,victim adam saleh refers black people abeed slaves sketches,1,1,0.9183517739309436
4740,need sta  mcbob williams shoot let play bird,0,1,0.6157994377360653
6501,  wear beanies winter long bandanas till summer,0,1,0.6251486758703088
394,look find today 5 bring movies 10,0,1,0.6879964554030559
5887,  found oreo pocket thanks looking xx,0,1,0.675620611657443
3600,ima pull eat pussy dip,1,1,0.9948550078517925
6278,  school admins hungry kids lunch   throw trash lunch funds arent paid thatll teach em  tc,0,1,0.9514918056030084
1211,got pre sale tickets morning itll 7 year old daughters fo conce,0,1,0.7593663147745829
2742,fuck yo assholes dumb mafuckas,1,1,0.9758413064944762
1502,msg business end,1,1,0.5001807402876967
2665,tragic 4 white americans prompts 2 vote 4 candidates slash ow,1,1,0.6993703051431344
2689,monster law republican lawmakers disenfranchised black voters near surgical precision,1,1,0.5776815756447448
4491,nudes trash,0,0,0.3356885293868687
6353,  statement thought realize makes sense think abo,0,1,0.9406326396684939
3028,kill ugly ass monkey looking shit,1,1,0.8493339043953618
3782,    got interest tall skinny model bitches like women ass   hips,1,1,0.7668470390536585
3124,u mad search bar search stupid niggers   hop somebodys head mention lol,1,1,0.8733350053530977
5303,mushroom mountainonce twice whos countinbut nothin comparesto blue   yellow purple pills  tcofmjlvmeqdo,0,1,0.5331186894753099
3482,dumb bitch dont know colors,1,1,0.9592293986989492
735,clearly overoptimistic learning torn hand fk u lov u,0,1,0.5001807402876967
6419,  yes yes know fob reconciliation idea youre welcome,0,1,0.5940583414222439
322,need course stream work today pssst download,0,0,0.4125143533284506
4077,cant treat hoes like ladies,1,1,0.6692944490160156
3543,curved yo bitch welcome,1,1,0.7469432880491336
4777,im wexican,0,1,0.7697728560440665
409,attack bull chase leave lot despite fact youre strong source,0,1,0.9185757819270919
2169,end,1,1,0.5001807402876967
1091,gave away wings sad fly antonio porchia,0,1,0.8975853008382387
4013,hoes gettin replaced soon sta  fuck wit cheques,1,1,0.8628265817724415
2274,ends 2016 hopeful message music industry,1,0,0.03471819436523715
4975,uhh messi trash im flattered games scorre,0,1,0.5988836196522616
2334,prince charles offers danger robinson aint wrong,1,1,0.9272607693010216
170,come poster xxx,0,1,0.7505947772068305
2388,word factory race denial prevents healing 13,1,0,0.3310041628949022
6502,  im date yankee field getting kiss cam,0,1,0.7913305667489586
436,makes day gives fab loves work latest,0,1,0.8996476980940336
539,natural,0,1,0.5001807402876967
2477,haha great,1,1,0.597748341126442
1043,day lets today special kids ages,0,1,0.6733840678275772
5103,charlie sheen wants return half men  tcokvmdogdclq,0,1,0.5001807402876967
5370,luv watching gas monkey havin classics,0,1,0.5115447633932618
4797,hes plate game tonight az im looking buy red yellow balkamania shi  tear,0,1,0.7131627433872789
5160,early bird gets worm,0,1,0.5403243342762024
4405,like dark light carmel white red tan yellow blue purple green doesnt matter color,0,1,0.7672977254649523
3054,yall hire colored folk work half da day throw da mail da sewer aint,1,1,0.7804197363871685
1619,truly sad lot working class men resent offered help woman evolution lot,1,1,0.5497780144727643
2940,atk porn pics representations women mens alcohol ads,1,1,0.5563961608773942
4702,help cant handle uppers cripples plus moderation isnt taken consideration itll bad,0,1,0.8175240632566322
180,fathers day,0,1,0.5035660796977947
577,5 stars love   friendship starring,0,0,0.2979183269988139
1098,state 177 million eligible voters 32 million bothered vote,0,1,0.5001807402876967
2816,unsatisfied moved nuclear terror new,1,1,0.5523283077901172
765,wait new place,0,1,0.5432757363762587
1666,tremendous oppounity country 75 years ove tax breaks corps,1,1,0.672803800404868
6536,  whos blame yankees underperformance year umps management ebola outbreakhow bout player,0,1,0.9842304919842974
5522,lakers purple yellow garbage,0,1,0.5637691599242628
1722,83 year old man young teach sexism women,1,1,0.7522691744949698
6280,  coming 515a charlie bakers c aign admits wrong emotional fisherman story w,0,1,0.7110142232382445
6860,yeah   complete stadium lead red sox 31,0,0,0.0586982142356684
3552,gwop bitch remember,1,1,0.6015937904993647
5835,  gracias por jugar con el corazon ahora ganarle los yankees  tco3fytvuznzb,0,1,0.5001807402876967
169,hanging daddys new school masons cove elementary,0,1,0.7334037792630709
707,greatest gift came god dad,0,1,0.5434528179403629
1579,1 want fight p,1,1,0.7329797752901487
5082,cardinals score 1st lead 10 3rd birds base,0,1,0.5253250551044922
1104,seek woh knowing known anon,0,1,0.5001807402876967
6086,  primes mj dominated lbj 1 1 mentally tougher mjs trash talk unn,0,0,0.4059929404286661
4839,yes true reagan firstike wouldnt president supreme allied commander,0,1,0.8392746446174074
2580,openly total graceless goodbye americas black president,1,1,0.8403861558823821
5438,im big uncle tom slur reserve earn dare vote dem,0,1,0.875020561679854
3356,bitch going nawl,1,1,0.6488502722151355
473,yes sadly easy wins awhile,0,1,0.5175486934641134
1510,celebrate,1,1,0.5001807402876967
6129,  greatest job world got chance sho stop new york yankees derek jeter  ,0,0,0.3235482145733624
1154,balade,0,1,0.5001807402876967
1787,islamic extremism kills tens thousands people year,1,1,0.6134059678356306
3856,  single life hitting zero like dont want hoes,1,1,0.7494163174373749
4248,rough mock base eventually ashtray tiki ti  tco8ze8aqy0,0,1,0.9400816151176418
6900,dblite works like charm openw  arduino yun test coverage gyp version rarely  stco4jrj1ezc1s,0,1,0.806562977110054
4554,penguins bird puppy bowl,0,1,0.5001807402876967
5654,mans trash anothers transformer  tcolpynvqwxxx,0,0,0.415776703177558
6109,  week trash,0,0,0.4035215135166611
5286,homemade soup good vegetables crackers  tcolirwgwkdze,0,1,0.6727352225925507
5673,day care im taking kitty nap hosers,0,1,0.8761657198028053
4928,ill guys later gotta bake blood crackers,0,1,0.7705709159500855
2179,freaking nasty rotten people monsters release domnica going pay let free,1,1,0.6346813698483288
4765,cowboy killers,0,1,0.5001807402876967
2305,systemic humanity human power reinforced minute,1,1,0.8633317426632434
2926,police horribly hyperviolent raids,1,1,0.8043446056417559
5881,  reasons mermaid periods pants perfect hair u lure men deathalso free clam,0,1,0.5222631280229454
1563,team     combat,1,1,0.5001807402876967
4048,whats shit posting pic slipdont flatter stupid ass bitches,1,1,0.947087072402646
6574,dumb stump sarah mocks obama  tcoqwxb4wbfzq,0,1,0.9381746461412704
6545,real basketball players disappointed throw trash miss,0,0,0.4605688800476957
